entity type, attribute name, role
android,android.os.api_level,
app,app.installation.id,
aws.ecs,aws.ecs.cluster.arn,
aws.ecs,aws.ecs.container.arn,
aws.ecs,aws.ecs.launchtype,
aws.ecs,aws.ecs.task.arn,
aws.ecs,aws.ecs.task.family,
aws.ecs,aws.ecs.task.id,
aws.ecs,aws.ecs.task.revision,
aws.eks,aws.eks.cluster.arn,
aws.log,aws.log.group.arns,
aws.log,aws.log.group.names,
aws.log,aws.log.stream.arns,
aws.log,aws.log.stream.names,
browser,browser.brands,
browser,browser.language,
browser,browser.mobile,
browser,browser.platform,
browser,user_agent.original,
cicd.pipeline,cicd.pipeline.name,
cicd.pipeline.run,cicd.pipeline.run.id,
cicd.pipeline.run,cicd.pipeline.run.url.full,
cicd.worker,cicd.worker.id,
cicd.worker,cicd.worker.name,
cicd.worker,cicd.worker.url.full,
cloud,cloud.account.id,
cloud,cloud.availability_zone,
cloud,cloud.platform,
cloud,cloud.provider,
cloud,cloud.region,
cloud,cloud.resource_id,
cloudfoundry.app,cloudfoundry.app.id,
cloudfoundry.app,cloudfoundry.app.name,
cloudfoundry.org,cloudfoundry.org.id,
cloudfoundry.org,cloudfoundry.org.name,
cloudfoundry.process,cloudfoundry.process.id,
cloudfoundry.process,cloudfoundry.process.type,
cloudfoundry.space,cloudfoundry.space.id,
cloudfoundry.space,cloudfoundry.space.name,
cloudfoundry.system,cloudfoundry.system.id,
cloudfoundry.system,cloudfoundry.system.instance.id,
container,container.command,
container,container.command_args,
container,container.command_line,
container,container.id,
container,container.image.id,
container,container.image.name,
container,container.image.repo_digests,
container,container.image.tags,
container,container.label,
container,container.name,
container,container.runtime,
container,oci.manifest.digest,
deployment,deployment.environment.name,
device,device.id,
device,device.manufacturer,
device,device.model.identifier,
device,device.model.name,
faas,cloud.resource_id,
faas,faas.instance,
faas,faas.max_memory,
faas,faas.name,
faas,faas.version,
gcp.apphub.application,gcp.apphub.application.container,
gcp.apphub.application,gcp.apphub.application.id,
gcp.apphub.application,gcp.apphub.application.location,
gcp.apphub.service,gcp.apphub.service.criticality_type,
gcp.apphub.service,gcp.apphub.service.environment_type,
gcp.apphub.service,gcp.apphub.service.id,
gcp.apphub.workload,gcp.apphub.workload.criticality_type,
gcp.apphub.workload,gcp.apphub.workload.environment_type,
gcp.apphub.workload,gcp.apphub.workload.id,
gcp.cloud_run,gcp.cloud_run.job.execution,
gcp.cloud_run,gcp.cloud_run.job.task_index,
gcp.gce,gcp.gce.instance.hostname,
gcp.gce,gcp.gce.instance.name,
heroku,heroku.app.id,
heroku,heroku.release.commit,
heroku,heroku.release.creation_timestamp,
host,host.arch,
host,host.id,
host,host.image.id,
host,host.image.name,
host,host.image.version,
host,host.ip,
host,host.mac,
host,host.name,
host,host.type,
host.cpu,host.cpu.cache.l2.size,
host.cpu,host.cpu.family,
host.cpu,host.cpu.model.id,
host.cpu,host.cpu.model.name,
host.cpu,host.cpu.stepping,
host.cpu,host.cpu.vendor.id,
k8s.cluster,k8s.cluster.name,
k8s.cluster,k8s.cluster.uid,
k8s.container,k8s.container.name,
k8s.container,k8s.container.restart_count,
k8s.container,k8s.container.status.last_terminated_reason,
k8s.cronjob,k8s.cronjob.annotation,
k8s.cronjob,k8s.cronjob.label,
k8s.cronjob,k8s.cronjob.name,
k8s.cronjob,k8s.cronjob.uid,
k8s.daemonset,k8s.daemonset.annotation,
k8s.daemonset,k8s.daemonset.label,
k8s.daemonset,k8s.daemonset.name,
k8s.daemonset,k8s.daemonset.uid,
k8s.deployment,k8s.deployment.annotation,
k8s.deployment,k8s.deployment.label,
k8s.deployment,k8s.deployment.name,
k8s.deployment,k8s.deployment.uid,
k8s.hpa,k8s.hpa.name,
k8s.hpa,k8s.hpa.uid,
k8s.job,k8s.job.annotation,
k8s.job,k8s.job.label,
k8s.job,k8s.job.name,
k8s.job,k8s.job.uid,
k8s.namespace,k8s.namespace.annotation,
k8s.namespace,k8s.namespace.label,
k8s.namespace,k8s.namespace.name,
k8s.node,k8s.node.annotation,
k8s.node,k8s.node.label,
k8s.node,k8s.node.name,
k8s.node,k8s.node.uid,
k8s.pod,k8s.pod.annotation,
k8s.pod,k8s.pod.label,
k8s.pod,k8s.pod.name,
k8s.pod,k8s.pod.uid,
k8s.replicaset,k8s.replicaset.annotation,
k8s.replicaset,k8s.replicaset.label,
k8s.replicaset,k8s.replicaset.name,
k8s.replicaset,k8s.replicaset.uid,
k8s.replicationcontroller,k8s.replicationcontroller.name,
k8s.replicationcontroller,k8s.replicationcontroller.uid,
k8s.resourcequota,k8s.resourcequota.name,
k8s.resourcequota,k8s.resourcequota.uid,
k8s.statefulset,k8s.statefulset.annotation,
k8s.statefulset,k8s.statefulset.label,
k8s.statefulset,k8s.statefulset.name,
k8s.statefulset,k8s.statefulset.uid,
os,os.build_id,
os,os.description,
os,os.name,
os,os.type,
os,os.version,
otel.scope,otel.scope.name,
otel.scope,otel.scope.version,
process,process.command,
process,process.command_args,
process,process.command_line,
process,process.executable.name,
process,process.executable.path,
process,process.linux.cgroup,
process,process.owner,
